call_TOPIC_CLASSIFIC_ENTRY_AT_FT,call_TOPIC_AVG_TMC,call_TOPIC_AVG_FTR,call_TOPIC_AVG_OT,call_TOPIC_COUNT
IF,881.9348428493101,0.1924657568078874,0.22278203399374658,404898
Móvel,732.8877889017083,0.1589936357884551,0.0025680151847854403,53738
OTHER,652.1940499539214,0.1433209669415629,0.029764408421749097,211595
TV,916.5721139269855,0.17512172067557205,0.2229873731518967,448568
VF,855.4357020710621,0.1555956678700361,0.14385331559946798,52630
__GLOBAL__,807.8048995405975,0.16509954961670273,0.12439102927032916,1171429
