level,key,tmc_bias_mean,tmc_residual_std,tmc_count,ftr_bias_mean,ftr_residual_std,ftr_count,ot_bias_mean,ot_residual_std,ot_count
agent,11741170013,95.99741959322732,447.84849699210366,2967,-0.1383689378884492,0.387930192526607,2967,-0.1244782797175635,0.41548800273159925,2967
agent,11741900049,81.07266925144583,433.2840620190826,1721,-0.14028661075128782,0.38734158802661567,1721,-0.10728342848045797,0.4059872558674014,1721
agent,11741920010,103.15467476489798,519.7329897331591,2485,-0.12488806324465654,0.40106295538706527,2485,-0.12340864293414057,0.3917239034877132,2485
agent,11743190006,130.76613977713177,481.71535072569833,129,-0.19190496991771136,0.3385258990744331,129,-0.10690033180790759,0.4455200194507712,129
agent,11750000013,79.60507047402525,461.86794157902267,2899,-0.1395565416225691,0.3911136932165719,2899,-0.104253033631044,0.4235967729567049,2899
agent,11763970008,178.16827555943598,689.7953158372188,1345,-0.15735070596840303,0.3663890739420454,1345,-0.10074531102127164,0.36659960920286794,1345
agent,11776310014,154.06517399467438,645.4191346421984,2964,-0.17907209785883887,0.35490006172101757,2964,-0.10799319419303505,0.39641152153112624,2964
agent,11792920033,3.688015809590319,518.5794538221375,1562,-0.18993580610361355,0.33783646270684503,1562,-0.2206241734175038,0.40824174607264785,1562
agent,11797610012,186.94745205376412,522.4879408662796,3012,-0.15442718793038196,0.3751105074396874,3012,-0.08742669459765066,0.34768877948880855,3012
agent,11802570011,47.15168934084801,427.0443865146712,2468,-0.16592817433552765,0.36905852376275655,2468,-0.19053570289678745,0.42930831013430654,2468
agent,11802970016,182.18271646447468,561.2411757946593,2011,-0.1656290287404793,0.3634857302473579,2011,-0.137042544419196,0.4081917212480319,2011
agent,11804610011,204.1223585157026,534.6714413709935,2769,-0.15553613561893379,0.37628972630421975,2769,-0.10842255058534558,0.36621029474304956,2769
agent,11808370014,187.9137201811138,616.7792478895319,1976,-0.13119930947418154,0.3995347082891366,1976,-0.12144027712110615,0.40229553242139654,1976
