level,key,tmc_bias_mean,tmc_residual_std,tmc_count,ftr_bias_mean,ftr_residual_std,ftr_count,ot_bias_mean,ot_residual_std,ot_count
agent,11741170013,-2.319285815437916,5.520565884038645,2967,0.11311379369859306,0.3832345443898009,2967,-0.8196831816649814,0.38445111959851863,2967
agent,11741900049,-2.2637606681189797,8.064720809857747,1721,0.10587452798822049,0.37566308562397477,1721,-0.7640906449738524,0.42456581496547113,1721
agent,11741920010,-1.3599359247526173,9.181879111500724,2485,0.12036030288313476,0.38755456963410034,2485,-0.8531187122736419,0.35398753515089326,2485
agent,11743190006,-1.982382101606029,5.2219385979604755,129,0.05761172004448351,0.3294357149945163,129,-0.7829457364341085,0.41223986977700255,129
agent,11750000013,-2.3014428374601996,6.842261777306268,2899,0.1146830371296706,0.38439873369305283,2899,-0.8157985512245602,0.3876483909994582,2899
agent,11763970008,-0.14808260268881418,47.02095317752748,1345,0.08279749152828769,0.3545247934185136,1345,-0.8520446096654275,0.35505576013566764,1345
agent,11776310014,-0.4876886360075792,53.25054820833109,2964,0.07624879846407173,0.3495625178333731,2964,-0.8333333333333334,0.3726779962499649,2964
agent,11792920033,-2.064355200597785,47.13042983865427,1562,0.06093658292224862,0.3324078650061582,1562,-0.9263764404609475,0.26115729172254043,1562
agent,11797610012,-0.2660758751797011,10.461810938821523,3012,0.10007098309230678,0.372830811289453,3012,-0.8243691899070386,0.3805057537528855,3012
agent,11802570011,-2.3467856319062714,5.889555531154158,2468,0.08591081342709703,0.35764892780215246,2468,-0.8893841166936791,0.31365587778118115,2468
agent,11802970016,-0.21816269406508831,10.348386096903985,2011,0.08484394803146768,0.3579446666383022,2011,-0.7946295375435107,0.4039720728056545,2011
agent,11804610011,-0.5134913732791128,7.770330423851688,2769,0.09360098304968958,0.3654643799018719,2769,-0.8526543878656555,0.35445011315994784,2769
agent,11808370014,-0.7463771013113168,18.63911588668171,1976,0.12530446846626306,0.3922964467020998,1976,-0.8456477732793523,0.36128605955257326,1976
agent,11819640012,-0.20153224248471469,14.122477968277419,2875,0.07720012535219607,0.3500855888108827,2875,-0.8852173913043478,0.31875940995784413,2875
agent,11825920010,-0.4691761079733756,14.609221856398204,2487,0.10625726257192115,0.3770079512244922,2487,-0.8464012866907921,0.3605636539904759,2487
agent,11826910011,-1.903429267603323,4.61570874898447,2180,0.10665750874018451,0.37680705987106283,2180,-0.8720183486238532,0.33406937645821594,2180
agent,11836000039,-1.3324558147626095,62.163078949230886,1969,0.0805272331556855,0.3517377944672634,1969,-0.8049771457592687,0.39621829912881323,1969
agent,11847070015,-1.1561825412062565,24.24336497297934,2879,0.07804115989755615,0.35093951809470425,2879,-0.7912469607502605,0.40641752896957617,2879
agent,11851660012,-1.3835821248639935,5.216279957938574,1673,0.10398335900053035,0.37495177332335194,1673,-0.8344291691572027,0.3716949432220233,1673
agent,11855170030,-2.1677243969342324,5.601684276064164,826,0.10091179028405982,0.3726871587298214,826,-0.8849878934624698,0.3190365525881478,826
agent,11869630008,-0.36480779438523275,25.208450523906418,1777,0.11470838468867739,0.3829979027154236,1777,-0.8728193584693303,0.3331752180917977,1777
agent,11889840011,-1.8228630766108138,22.977552228464695,1994,0.04869279658483526,0.31931631653786546,1994,-0.8189568706118355,0.38505391140657796,1994
agent,11927980012,0.2819898608261629,43.003913106730344,1963,0.08589587803556187,0.35785141375394414,1963,-0.8150789607743251,0.388233497366432,1963
agent,11929800010,-0.7044556110289569,9.498946499009678,2103,0.08203413084156447,0.35345321575499505,2103,-0.8777936281502615,0.3275240060347667,2103
agent,11930360177,-1.380784601417538,18.218054129625035,2213,0.0686209969899259,0.34164729055155335,2213,-0.8639855399909625,0.34280391870205834,2213
agent,11931870124,-1.5182843570177882,50.92095249636697,1041,0.0797147341466202,0.3528581873937591,1041,-0.9414024975984631,0.23486982589051073,1041
agent,11932200015,-1.280862451144005,45.28903398826169,1095,0.08153829015281103,0.35368903375656546,1095,-0.8547945205479452,0.3523078883436386,1095
agent,11933210014,2.2598252716833156,69.06729421086821,1588,0.08975582329617339,0.3597435878482175,1588,-0.8853904282115869,0.3185501810435676,1588
agent,11939730128,-1.2833810055349755,36.19853604171996,2540,0.08582186735286487,0.3596256943329505,2540,-0.8976377952755905,0.3031240402349632,2540
agent,11939830008,-1.2636628920943649,5.472331788494236,1350,0.1119705409694601,0.381003276442028,1350,-0.8303703703703704,0.3753070987622594,1350
agent,11941240153,-1.873910576888408,6.7272081268909485,3196,0.1730686959825708,0.4252661202877107,3196,-0.8976846057571964,0.30306262445861454,3196
agent,11942180012,-2.2162818346525492,11.453571012118257,3800,0.11435825806307165,0.38246000690899806,3800,-0.8555263157894737,0.35156939397672754,3800
agent,12827770096,-1.7955744106688556,9.751513186113366,2178,0.08739875159179321,0.3605136321963671,2178,-0.8691460055096418,0.3372406064166583,2178
agent,12857120011,-1.158025851132955,8.581345704075817,2124,0.08550695438646552,0.357740162079718,2124,-0.8290960451977402,0.37642501648430193,2124
agent,12936270022,-0.7043183655191381,7.402431319101257,2404,0.09219927374837601,0.36490016842435213,2404,-0.8219633943427621,0.38254355660929257,2404
agent,13022900010,-21.2276611328125,19.5550537109375,2,0.43253473937511444,0.5,2,-1.0,0.0,2
agent,13022910008,0.06622206072053786,22.867940654253474,2411,0.10982744228241603,0.3798188571688339,2411,-0.826627955205309,0.37856859203901044,2411
agent,13034930010,-0.5941474720225117,39.981382675391,2709,0.10204629466933225,0.3725524916789757,2709,-0.7932816537467701,0.4049516904219066,2709
agent,13036370015,-0.694917537976366,15.560277052867415,2803,0.08607496865043204,0.3590606658504535,2803,-0.7991437745272922,0.40064073951804313,2803
agent,13057910014,-1.4018273457700534,12.91204801747338,3801,0.08738547266000071,0.36031636577923,3801,-0.840568271507498,0.36607820536381996,3801
